,condition,ineq_condition,mobil_condition,ineq_quiz_ans,mobil_quiz_ans,exp_display_order,income_result_of_circumstances,equal_outcomes,govt_should_take_active_steps,ineq_is_a_serious_problem,how_to_fix_ineq_1st_choice,how_to_fix_ineq_2nd_choice,how_to_fix_ineq_3rd_choice,how_to_fix_ineq_4th_choice,how_to_fix_ineq_5th_choice,how_to_fix_ineq_text,high_earners_rarely_deserving,increase_taxes_on_millionares,increase_estate_tax,increase_min_wage,increase_aid_to_poor,increase_food_stamps,support_entrepreneurs,support_housing,outcome_display_order,gap_btw_rich_and_poor_increasing,children_have_worse_chances,mc_display_order,is_us_resident,state,gender,age,marital_status,has_children,race,education,employment_status,income,intergen_mobility_down,intragen_mobility_down,income_volatility,liberal_vs_conservative,democrat_vs_republican
0,incr_ineq_incr_mobil,1.0,0.0,3,3,"['ineq', 'mobil']",1,0,3,2,3,4,2,5,1,I don't think the government can fix it,2,3,2,3,3,3,1,1,"['support_entrepreneurs', 'support_housing', 'increase_min_wage', 'increase_food_stamps', 'increase_aid_to_poor', 'govt_should_take_active_steps', 'income_result_of_circumstances', 'equal_outcomes', 'ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank', 'increase_taxes_on_millionares', 'increase_estate_tax', 'high_earners_rarely_deserving']",3,2,"['mobil_mc', 'ineq_mc']",1,Mississippi,3,46,1,0,1,6,1,7,4,2,1,3,1
1,decr_ineq_incr_mobil,0.0,0.0,3,1,"['ineq', 'mobil']",0,0,2,2,3,4,5,2,1,I don’t know ,2,2,1,2,3,5,1,0,"['increase_food_stamps', 'support_entrepreneurs', 'increase_aid_to_poor', 'increase_min_wage', 'support_housing', 'ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank', 'equal_outcomes', 'income_result_of_circumstances', 'govt_should_take_active_steps', 'increase_taxes_on_millionares', 'increase_estate_tax', 'high_earners_rarely_deserving']",2,3,"['mobil_mc', 'ineq_mc']",1,California,3,49,0,0,4,5,3,1,5,3,3,2,1
2,decr_ineq_decr_mobil,0.0,1.0,2,3,"['mobil', 'ineq']",1,0,5,3,1,2,3,5,4,I have no idea,2,3,2,3,4,4,1,1,"['income_result_of_circumstances', 'govt_should_take_active_steps', 'equal_outcomes', 'increase_taxes_on_millionares', 'high_earners_rarely_deserving', 'increase_estate_tax', 'ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank', 'increase_aid_to_poor', 'increase_food_stamps', 'support_housing', 'increase_min_wage', 'support_entrepreneurs']",3,3,"['mobil_mc', 'ineq_mc']",1,New York,3,31,0,1,1,3,4,6,5,5,3,3,2
3,incr_ineq_decr_mobil,1.0,1.0,3,1,"['mobil', 'ineq']",1,0,2,4,1,3,2,5,4,Idk,1,3,2,3,5,5,1,1,"['increase_aid_to_poor', 'support_entrepreneurs', 'increase_min_wage', 'increase_food_stamps', 'support_housing', 'increase_estate_tax', 'increase_taxes_on_millionares', 'high_earners_rarely_deserving', 'ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank', 'govt_should_take_active_steps', 'income_result_of_circumstances', 'equal_outcomes']",3,3,"['ineq_mc', 'mobil_mc']",1,Oklahoma,3,24,0,1,1,5,1,8,1,1,2,2,3
4,decr_ineq_incr_mobil,0.0,0.0,1,1,"['ineq', 'mobil']",0,0,4,3,2,3,1,4,5,Good question. I need more time to think about it,2,1,3,3,4,4,1,1,"['support_housing', 'increase_food_stamps', 'increase_aid_to_poor', 'increase_min_wage', 'support_entrepreneurs', 'increase_taxes_on_millionares', 'increase_estate_tax', 'high_earners_rarely_deserving', 'ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank', 'income_result_of_circumstances', 'govt_should_take_active_steps', 'equal_outcomes']",2,1,"['mobil_mc', 'ineq_mc']",1,Pennsylvania,3,42,1,1,1,6,6,7,2,3,1,3,2
5,incr_ineq_incr_mobil,1.0,0.0,3,1,"['mobil', 'ineq']",0,1,2,4,3,1,4,5,2,I'm not sure there is anything the government can do.,2,3,1,3,5,4,1,1,"['ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank', 'income_result_of_circumstances', 'equal_outcomes', 'govt_should_take_active_steps', 'high_earners_rarely_deserving', 'increase_taxes_on_millionares', 'increase_estate_tax', 'support_housing', 'increase_min_wage', 'support_entrepreneurs', 'increase_food_stamps', 'increase_aid_to_poor']",3,3,"['ineq_mc', 'mobil_mc']",1,North Carolina,3,40,1,1,1,5,1,4,5,2,1,2,1
6,decr_ineq_decr_mobil,0.0,1.0,3,2,"['ineq', 'mobil']",0,0,3,5,3,2,1,4,5,Equal pay for everyone,3,3,1,3,3,2,0,0,"['govt_should_take_active_steps', 'income_result_of_circumstances', 'equal_outcomes', 'high_earners_rarely_deserving', 'increase_taxes_on_millionares', 'increase_estate_tax', 'support_housing', 'increase_aid_to_poor', 'increase_min_wage', 'increase_food_stamps', 'support_entrepreneurs', 'ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank']",1,3,"['ineq_mc', 'mobil_mc']",1,Georgia,3,29,0,0,2,4,1,4,4,3,2,3,2
7,decr_ineq_decr_mobil,0.0,1.0,3,1,"['mobil', 'ineq']",1,0,5,5,2,4,1,3,5,Hairinteed iniversal income is a start and health care that won’t break u,3,3,3,3,5,5,1,1,"['high_earners_rarely_deserving', 'increase_estate_tax', 'increase_taxes_on_millionares', 'increase_min_wage', 'support_housing', 'support_entrepreneurs', 'increase_food_stamps', 'increase_aid_to_poor', 'ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank', 'govt_should_take_active_steps', 'equal_outcomes', 'income_result_of_circumstances']",3,3,"['mobil_mc', 'ineq_mc']",1,Texas,3,35,0,0,1,5,1,7,4,4,2,5,3
8,incr_ineq_decr_mobil,1.0,1.0,1,3,"['mobil', 'ineq']",1,0,5,5,3,2,1,5,4,A group controls the workforce diversity will help to break the monopoly,3,3,3,3,5,5,1,1,"['increase_estate_tax', 'increase_taxes_on_millionares', 'high_earners_rarely_deserving', 'ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank', 'govt_should_take_active_steps', 'income_result_of_circumstances', 'equal_outcomes', 'increase_food_stamps', 'increase_min_wage', 'support_housing', 'support_entrepreneurs', 'increase_aid_to_poor']",3,3,"['ineq_mc', 'mobil_mc']",1,Pennsylvania,3,47,0,1,2,6,1,7,3,5,3,3,2
9,decr_ineq_decr_mobil,0.0,1.0,3,3,"['mobil', 'ineq']",0,1,4,3,1,3,5,4,2,Make all wages equal ,2,3,1,3,4,5,1,1,"['support_entrepreneurs', 'support_housing', 'increase_aid_to_poor', 'increase_min_wage', 'increase_food_stamps', 'govt_should_take_active_steps', 'income_result_of_circumstances', 'equal_outcomes', 'increase_estate_tax', 'increase_taxes_on_millionares', 'high_earners_rarely_deserving', 'ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank']",3,3,"['ineq_mc', 'mobil_mc']",1,Montana,3,36,1,1,4,6,1,5,4,5,1,3,2
10,incr_ineq_incr_mobil,1.0,0.0,3,1,"['mobil', 'ineq']",1,1,5,4,2,1,3,4,5,Treat everyone as equals.  ,2,3,2,3,5,5,1,1,"['ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank', 'increase_food_stamps', 'increase_aid_to_poor', 'increase_min_wage', 'support_entrepreneurs', 'support_housing', 'increase_taxes_on_millionares', 'high_earners_rarely_deserving', 'increase_estate_tax', 'govt_should_take_active_steps', 'equal_outcomes', 'income_result_of_circumstances']",3,1,"['ineq_mc', 'mobil_mc']",1,Maine,3,28,1,0,1,4,1,5,2,4,2,4,3
11,incr_ineq_incr_mobil,1.0,0.0,1,1,"['mobil', 'ineq']",1,0,4,3,3,1,4,5,2,Higher paying jobs for manual labor and minimum wage workers ,1,3,1,3,3,3,1,1,"['govt_should_take_active_steps', 'equal_outcomes', 'income_result_of_circumstances', 'high_earners_rarely_deserving', 'increase_estate_tax', 'increase_taxes_on_millionares', 'ineq_is_a_serious_problem', 'how_to_fix_ineq_text', 'how_to_fix_ineq_rank', 'increase_aid_to_poor', 'increase_food_stamps', 'support_entrepreneurs', 'support_housing', 'increase_min_wage']",3,1,"['mobil_mc', 'ineq_mc']",1,Illinois,3,36,0,1,1,6,6,8,2,3,1,3,4
