,condition,comprehension_q,wealthy_family_essential,educated_parents_essential,having_ambition_essential,hard_work_essential,talent_essential,luck_essential,connections_essential,good_education_essential,political_influence_essential,enough_opportunities,more_opportunities_than_parents,hard_work_brings_better_life,people_poor_because_laziness,high_earners_deserve_high,low_earners_deserve_low,ineq_serious_problem,poverty_serious_problem,unequal_hcare_serious_problem,ineq_increasing,govt_regulation_effective,govt_transfers_effective,progressive_taxes_effective,educ_policies_effective,private_charity_effective,govt_should_decrease_ineq,companies_should_decrease_ineq,who_most_responsible,is_resident,state,gender,age,married,has_children,race,religion,education,emp_status,occupation,household_income,subj_relative_income,income_volatile,sol_better_than_past,sol_better_in_future,liberal,political_party,follow_news,has_confidence_in_science,father_occ,mother_occ,father_educ,mother_educ,subj_relative_income_16_yrs,sol_better_than_parents,coronavirus_serious_threat,must_save_economy,satisfied_with_city,satisfied_with_state,satisfied_with_federal_govt,self_became_ill,family_member_became_ill,self_lost_income,family_member_lost_income,self_at_risk,family_member_at_risk,not_affected,affected_in_other_way,how_affected_by_coronavirus_other,days_out_in_past_week,opinion_q_DO,DS_regular_or_reverse,EO_regular_or_reverse,LHW_regular_or_reverse,ED_regular_or_reverse,ISP_regular_or_reverse,GT_regular_or_reverse,GMC_regular_or_reverse,Demog_end_regular_or_reverse,Parents_end_regular_or_reverse,Corona_regular_or_reverse,GMC.3_DO,DQ18_DO
2,corona_control,The coronovirus and how it impacted the world.,5.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0,5.0,6.0,3.0,2.0,3.0,3.0,4.0,3.0,1.0,4.0,2.0,1.0,1.0,7.0,7.0,5.0,1,Pennsylvania,2,63,1,0,1,2,3,6,homemaker,5.0,2.0,1.0,3.0,3.0,4.0,2.0,5.0,3.0,Crane operator,clerk,3,3,3.0,2.0,3.0,1.0,4.0,5.0,2.0,0,0,0,0,0,1,0,0,,7.0,"['private_charity_effective', 'educ_policies_effective', 'govt_transfers_effective', 'govt_regulation_effective', 'progressive_taxes_effective', 'govt_should_decrease_ineq', 'companies_should_decrease_ineq', 'who_most_responsible', 'people_poor_because_laziness', 'hard_work_brings_better_life', 'poverty_serious_problem', 'unequal_hcare_serious_problem', 'ineq_serious_problem', 'ineq_increasing', 'high_earners_deserve_high', 'low_earners_deserve_low', 'enough_opportunities', 'more_opportunities_than_parents', '', 'luck_essential', 'educated_parents_essential', 'having_ambition_essential', 'wealthy_family_essential', 'hard_work_essential', 'connections_essential', 'talent_essential', 'political_influence_essential', 'good_education_essential']",DS,EO,LHW,ED_Reverse,ISP_Reverse,GT,GMC_Reverse,Demographics_End,Parents_End_Reverse,Coronavirus,Major companies|Government|High income individuals themselves|Low income individuals themselves|Private charities|Income differences do not need to be reduced,Republican|Democrat|Independent|None
3,corona_class_ineq,coronavirus greatly affecting the poor and minorities-like blacks and hispanics,3.0,3.0,5.0,5.0,5.0,3.0,3.0,5.0,3.0,1.0,1.0,6.0,3.0,4.0,3.0,5.0,5.0,5.0,3.0,1.0,4.0,1.0,1.0,2.0,4.0,4.0,6.0,1,Texas,2,67,0,0,2,1,7,6,retired,2.0,3.0,1.0,3.0,3.0,1.0,1.0,5.0,2.0,stock clerk,housewife,3,3,3.0,4.0,5.0,3.0,3.0,3.0,2.0,0,0,0,0,0,0,1,0,,1.0,"['private_charity_effective', 'govt_regulation_effective', 'govt_transfers_effective', 'educ_policies_effective', 'progressive_taxes_effective', 'companies_should_decrease_ineq', 'govt_should_decrease_ineq', 'who_most_responsible', 'ineq_serious_problem', 'unequal_hcare_serious_problem', 'poverty_serious_problem', 'ineq_increasing', 'high_earners_deserve_high', 'low_earners_deserve_low', '', 'having_ambition_essential', 'wealthy_family_essential', 'luck_essential', 'talent_essential', 'good_education_essential', 'connections_essential', 'hard_work_essential', 'educated_parents_essential', 'political_influence_essential', 'people_poor_because_laziness', 'hard_work_brings_better_life', 'more_opportunities_than_parents', 'enough_opportunities']",DS_Reverse,EO_Reverse,LHW,ED_Reverse,ISP,GT_Reverse,GMC,Demographics_End,Parents_End,Coronavirus,High income individuals themselves|Government|Private charities|Major companies|Low income individuals themselves|Income differences do not need to be reduced,Republican|Democrat|Independent|None
4,corona_class_ineq,How the Corona virus is not affecting everyone equally.  It iss harming more Black & Latinos and low income people,4.0,4.0,5.0,5.0,3.0,2.0,3.0,4.0,4.0,2.0,1.0,7.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,2.0,1,Connecticut,2,70,1,0,1,2,4,6,retired,5.0,2.0,2.0,2.0,3.0,1.0,1.0,5.0,3.0,foreman,homemaker,3,3,3.0,2.0,4.0,3.0,3.0,4.0,5.0,0,0,0,1,1,1,0,0,,4.0,"['more_opportunities_than_parents', 'enough_opportunities', 'hard_work_brings_better_life', 'people_poor_because_laziness', '', 'having_ambition_essential', 'educated_parents_essential', 'connections_essential', 'political_influence_essential', 'good_education_essential', 'wealthy_family_essential', 'talent_essential', 'luck_essential', 'hard_work_essential', 'high_earners_deserve_high', 'low_earners_deserve_low', 'ineq_serious_problem', 'unequal_hcare_serious_problem', 'poverty_serious_problem', 'ineq_increasing', 'govt_transfers_effective', 'educ_policies_effective', 'progressive_taxes_effective', 'govt_regulation_effective', 'private_charity_effective', 'companies_should_decrease_ineq', 'govt_should_decrease_ineq', 'who_most_responsible']",DS,EO,LHW_Reverse,ED,ISP,GT_Reverse,GMC_Reverse,Demographics_End_Reverse,Parents_End,Coronavirus,Low income individuals themselves|Private charities|Government|High income individuals themselves|Major companies|Income differences do not need to be reduced,Republican|Democrat|Independent|None
6,corona_control,"Disease outbreak, global",4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,3.0,5.0,6.0,5.0,1,Pennsylvania,2,58,1,0,1,10,3,4,Truck driver ,8.0,3.0,2.0,2.0,1.0,5.0,3.0,5.0,3.0,Salesman,Stay at home mom,6,5,4.0,2.0,5.0,3.0,3.0,3.0,2.0,0,0,0,0,0,1,0,0,,5.0,"['govt_transfers_effective', 'govt_regulation_effective', 'private_charity_effective', 'progressive_taxes_effective', 'educ_policies_effective', 'govt_should_decrease_ineq', 'companies_should_decrease_ineq', 'who_most_responsible', 'hard_work_brings_better_life', 'people_poor_because_laziness', '', 'connections_essential', 'luck_essential', 'good_education_essential', 'having_ambition_essential', 'talent_essential', 'educated_parents_essential', 'hard_work_essential', 'political_influence_essential', 'wealthy_family_essential', 'high_earners_deserve_high', 'low_earners_deserve_low', 'unequal_hcare_serious_problem', 'poverty_serious_problem', 'ineq_serious_problem', 'ineq_increasing', 'more_opportunities_than_parents', 'enough_opportunities']",DS,EO,LHW_Reverse,ED,ISP,GT,GMC,Demographics_End_Reverse,Parents_End,Coronavirus_Reverse,Private charities|Major companies|Government|High income individuals themselves|Low income individuals themselves|Income differences do not need to be reduced,Democrat|Republican|Independent|None
7,corona_natural_ineq,elderly affected by virus,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,2.0,7.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,5.0,7.0,7.0,5.0,1,Connecticut,2,57,1,1,1,10,3,6,retired,7.0,3.0,1.0,5.0,5.0,3.0,4.0,1.0,3.0,engineer,na,3,3,3.0,3.0,1.0,1.0,3.0,3.0,3.0,0,0,0,1,0,0,1,0,,7.0,"['govt_regulation_effective', 'govt_transfers_effective', 'educ_policies_effective', 'private_charity_effective', 'progressive_taxes_effective', 'govt_should_decrease_ineq', 'companies_should_decrease_ineq', 'who_most_responsible', '', 'political_influence_essential', 'wealthy_family_essential', 'good_education_essential', 'hard_work_essential', 'talent_essential', 'having_ambition_essential', 'luck_essential', 'connections_essential', 'educated_parents_essential', 'people_poor_because_laziness', 'hard_work_brings_better_life', 'high_earners_deserve_high', 'low_earners_deserve_low', 'ineq_serious_problem', 'poverty_serious_problem', 'unequal_hcare_serious_problem', 'ineq_increasing', 'enough_opportunities', 'more_opportunities_than_parents']",DS,EO_Reverse,LHW_Reverse,ED_Reverse,ISP,GT_Reverse,GMC_Reverse,Demographics_End,Parents_End_Reverse,Coronavirus,Major companies|Low income individuals themselves|High income individuals themselves|Private charities|Government|Income differences do not need to be reduced,Republican|Democrat|Independent|None
8,corona_natural_ineq,The disproportionate impact of the crononavirus on the elderly and those with underlying health conditions.  ,4.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,1.0,1.0,3.0,3.0,3.0,2.0,5.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,3.0,6.0,7.0,5.0,1,California,1,77,1,0,1,5,9,3,attorney,7.0,3.0,3.0,1.0,2.0,4.0,2.0,5.0,3.0,assistant city attorney,homemaker,9,3,3.0,2.0,5.0,1.0,5.0,5.0,1.0,0,0,1,0,0,0,0,0,,3.0,"['high_earners_deserve_high', 'low_earners_deserve_low', 'unequal_hcare_serious_problem', 'poverty_serious_problem', 'ineq_serious_problem', 'ineq_increasing', '', 'talent_essential', 'having_ambition_essential', 'hard_work_essential', 'good_education_essential', 'wealthy_family_essential', 'political_influence_essential', 'connections_essential', 'educated_parents_essential', 'luck_essential', 'hard_work_brings_better_life', 'people_poor_because_laziness', 'enough_opportunities', 'more_opportunities_than_parents', 'progressive_taxes_effective', 'private_charity_effective', 'educ_policies_effective', 'govt_regulation_effective', 'govt_transfers_effective', 'govt_should_decrease_ineq', 'companies_should_decrease_ineq', 'who_most_responsible']",DS_Reverse,EO_Reverse,LHW,ED_Reverse,ISP_Reverse,GT,GMC,Demographics_End,Parents_End_Reverse,Coronavirus_Reverse,Major companies|High income individuals themselves|Government|Private charities|Low income individuals themselves|Income differences do not need to be reduced,Republican|Democrat|Independent|None
9,corona_class_ineq,MINORITIES ARE EFFECTED MORE WITH THE VIRUS,3.0,4.0,5.0,5.0,3.0,2.0,3.0,5.0,2.0,2.0,3.0,7.0,5.0,1.0,1.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,1,Georgia,2,56,1,1,1,1,4,6,HOMEMAKER,8.0,3.0,1.0,5.0,5.0,2.0,1.0,3.0,3.0,MECHANIC,HOMEMAKER,3,2,2.0,5.0,3.0,5.0,5.0,5.0,5.0,0,0,0,0,1,0,0,0,,2.0,"['progressive_taxes_effective', 'private_charity_effective', 'govt_transfers_effective', 'govt_regulation_effective', 'educ_policies_effective', 'companies_should_decrease_ineq', 'govt_should_decrease_ineq', 'who_most_responsible', '', 'luck_essential', 'wealthy_family_essential', 'educated_parents_essential', 'hard_work_essential', 'good_education_essential', 'having_ambition_essential', 'talent_essential', 'connections_essential', 'political_influence_essential', 'people_poor_because_laziness', 'hard_work_brings_better_life', 'poverty_serious_problem', 'unequal_hcare_serious_problem', 'ineq_serious_problem', 'ineq_increasing', 'low_earners_deserve_low', 'high_earners_deserve_high', 'enough_opportunities', 'more_opportunities_than_parents']",DS,EO_Reverse,LHW_Reverse,ED_Reverse,ISP_Reverse,GT,GMC_Reverse,Demographics_End_Reverse,Parents_End_Reverse,Coronavirus,High income individuals themselves|Major companies|Government|Private charities|Low income individuals themselves|Income differences do not need to be reduced,Democrat|Republican|Independent|None
12,corona_natural_ineq,Wearing mask when out side at home.,4.0,5.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,2.0,1.0,7.0,7.0,3.0,3.0,5.0,2.0,4.0,1.0,2.0,5.0,3.0,5.0,5.0,7.0,7.0,2.0,1,New York,1,39,1,1,1,1,7,1,IT Manager,11.0,2.0,3.0,1.0,1.0,5.0,1.0,5.0,3.0,Information  Technology,Education,9,7,5.0,1.0,4.0,5.0,3.0,4.0,5.0,0,0,0,0,0,0,0,0,,1.0,"['ineq_serious_problem', 'unequal_hcare_serious_problem', 'poverty_serious_problem', 'ineq_increasing', '', 'luck_essential', 'political_influence_essential', 'talent_essential', 'good_education_essential', 'hard_work_essential', 'educated_parents_essential', 'connections_essential', 'having_ambition_essential', 'wealthy_family_essential', 'high_earners_deserve_high', 'low_earners_deserve_low', 'enough_opportunities', 'more_opportunities_than_parents', 'people_poor_because_laziness', 'hard_work_brings_better_life', 'govt_transfers_effective', 'progressive_taxes_effective', 'govt_regulation_effective', 'private_charity_effective', 'educ_policies_effective', 'companies_should_decrease_ineq', 'govt_should_decrease_ineq', 'who_most_responsible']",DS,EO_Reverse,LHW_Reverse,ED_Reverse,ISP,GT_Reverse,GMC_Reverse,Demographics_End_Reverse,Parents_End,Coronavirus,Low income individuals themselves|Government|Private charities|Major companies|High income individuals themselves|Income differences do not need to be reduced,Republican|Democrat|Independent|None
15,corona_natural_ineq,the virus effects elderly and people with diseases more.,5.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,3.0,1,Colorado,1,78,0,0,1,2,9,6,retired,2.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,travelling salesman,none,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,they closed my gyn,7.0,"['poverty_serious_problem', 'unequal_hcare_serious_problem', 'ineq_serious_problem', 'ineq_increasing', 'enough_opportunities', 'more_opportunities_than_parents', 'high_earners_deserve_high', 'low_earners_deserve_low', 'people_poor_because_laziness', 'hard_work_brings_better_life', '', 'talent_essential', 'political_influence_essential', 'good_education_essential', 'having_ambition_essential', 'hard_work_essential', 'connections_essential', 'luck_essential', 'wealthy_family_essential', 'educated_parents_essential', 'govt_regulation_effective', 'educ_policies_effective', 'progressive_taxes_effective', 'govt_transfers_effective', 'private_charity_effective', 'companies_should_decrease_ineq', 'govt_should_decrease_ineq', 'who_most_responsible']",DS,EO_Reverse,LHW,ED_Reverse,ISP,GT_Reverse,GMC_Reverse,Demographics_End,Parents_End,Coronavirus_Reverse,Private charities|Low income individuals themselves|Government|High income individuals themselves|Major companies|Income differences do not need to be reduced,Republican|Democrat|Independent|None
16,corona_natural_ineq,How the Coronavirus affects the elderly,4.0,4.0,5.0,5.0,3.0,3.0,4.0,5.0,4.0,2.0,3.0,2.0,2.0,4.0,2.0,5.0,5.0,5.0,3.0,4.0,2.0,4.0,4.0,2.0,7.0,5.0,5.0,1,Wisconsin,1,67,0,1,2,1,3,6,Retired,6.0,2.0,1.0,3.0,4.0,4.0,2.0,5.0,3.0,Manual labor,Housewife,1,1,1.0,5.0,5.0,1.0,4.0,5.0,2.0,0,0,0,0,0,1,0,0,,0.0,"['govt_should_decrease_ineq', 'companies_should_decrease_ineq', 'who_most_responsible', 'private_charity_effective', 'govt_transfers_effective', 'govt_regulation_effective', 'educ_policies_effective', 'progressive_taxes_effective', 'enough_opportunities', 'more_opportunities_than_parents', 'hard_work_brings_better_life', 'people_poor_because_laziness', 'ineq_serious_problem', 'unequal_hcare_serious_problem', 'poverty_serious_problem', 'ineq_increasing', '', 'talent_essential', 'good_education_essential', 'luck_essential', 'having_ambition_essential', 'wealthy_family_essential', 'hard_work_essential', 'political_influence_essential', 'educated_parents_essential', 'connections_essential', 'high_earners_deserve_high', 'low_earners_deserve_low']",DS_Reverse,EO,LHW,ED,ISP_Reverse,GT_Reverse,GMC,Demographics_End,Parents_End_Reverse,Coronavirus,Private charities|Major companies|Low income individuals themselves|Government|High income individuals themselves|Income differences do not need to be reduced,Republican|Democrat|Independent|None
